MQ2,MQ4,MQ5,MQ7,MQ135
221,254,384,692,288
222,253,383,692,289
222,254,384,690,287
220,256,385,690,291
218,255,387,691,289
222,255,388,690,306
224,259,393,690,301
221,258,391,689,291
221,259,391,688,295
221,259,393,686,296
218,259,393,688,303
219,260,394,686,299
220,258,395,686,305
219,261,397,692,305
216,259,394,679,299
218,261,398,685,301
217,261,398,682,306
215,263,399,683,302
213,259,397,676,300
212,258,395,674,301
216,264,403,684,307
211,263,402,679,305
211,263,402,677,303
211,260,398,674,303
210,263,403,677,306
208,261,399,670,301
207,262,401,669,304
209,262,403,673,311
207,261,402,669,311
209,262,402,668,310
207,263,404,669,311
208,264,408,672,312
205,263,405,668,308
207,264,408,670,311
205,263,409,668,310
204,265,410,668,310
204,268,416,675,312
204,265,414,672,311
203,266,413,670,313
205,267,418,674,313
207,269,415,669,314
203,267,415,669,310
201,263,409,659,307
201,264,413,665,306
202,267,416,667,311
202,266,415,665,310
199,264,414,662,309
200,267,422,671,315
198,266,421,665,315
197,267,421,666,313
199,267,422,667,315
201,268,423,670,316
198,265,425,669,317
197,266,424,664,314
197,265,422,664,317
194,260,424,665,317
195,264,421,660,315
193,267,424,663,318
194,261,423,660,317
194,261,422,662,323
195,270,427,666,323
197,271,426,665,325
192,268,427,664,322
192,269,427,663,321
192,270,427,662,320
192,270,428,663,325
188,269,428,662,326
188,266,427,659,322
186,272,428,661,320
190,270,432,664,323
189,266,434,667,325
189,270,432,664,327
187,268,430,660,323
187,265,427,655,324
187,271,431,659,327
185,270,432,657,323
184,274,433,661,325
185,272,432,657,325
186,270,431,659,328
184,273,433,660,328
184,271,432,659,330
183,271,432,657,329
183,271,430,655,327
182,269,428,652,327
182,270,430,652,329
181,265,431,652,327
179,268,428,650,328
181,268,428,648,328
179,268,430,648,329
174,270,432,652,331
175,267,429,647,327
180,270,433,652,331
179,271,434,651,332
179,272,437,657,332
181,276,442,662,336
176,272,441,655,330
177,273,437,653,332
177,268,439,656,331
174,265,430,644,329
173,269,434,651,333
175,271,441,658,335
179,274,439,655,337
176,274,444,660,335
176,272,437,651,333
175,270,436,650,333
174,271,435,648,333
174,273,436,647,333
172,270,433,647,330
175,274,438,652,335
176,276,445,661,338
172,273,438,649,333
171,273,437,645,333
171,275,440,649,334
173,273,438,646,334
167,271,437,642,327
171,273,439,647,334
173,275,440,648,332
172,274,440,651,330
170,272,439,647,333
171,273,439,647,329
170,273,439,647,332
171,274,439,646,334
170,270,434,640,330
171,276,440,649,332
169,275,442,648,330
167,270,436,639,328
168,271,436,641,330
166,268,433,638,327
168,270,437,643,334
168,275,441,647,331
169,275,442,646,332
166,271,438,641,329
165,271,438,643,329
166,270,437,639,331
165,272,440,644,335
163,276,442,649,337
169,276,443,651,342
161,272,441,641,335
166,271,438,639,333
167,273,441,642,337
165,272,441,643,335
161,273,441,642,337
165,274,440,641,336
162,271,439,638,336
167,275,442,644,345
163,274,442,641,340
167,275,445,645,346
165,279,451,651,350
166,274,451,647,347
161,275,446,645,348
164,273,443,643,348
165,274,443,642,349
164,274,443,641,346
162,272,442,641,348
163,271,442,639,345
161,272,442,638,339
162,274,444,644,340
160,274,443,642,339
163,276,443,641,344
160,274,440,640,337
165,279,446,643,339
161,275,440,636,333
160,277,444,642,337
161,274,444,637,335
160,278,443,639,337
160,276,443,640,337
161,277,440,636,335
159,277,443,641,337
160,277,443,638,336
159,276,445,641,338
157,277,443,638,337
158,276,444,636,338
158,278,449,648,336
158,276,442,637,336
160,277,442,634,337
155,278,445,642,338
154,275,441,635,337
159,277,444,641,340
159,278,444,638,340
159,278,443,637,338
159,279,446,639,339
156,277,443,637,336
158,279,443,637,338
156,277,442,636,337
157,278,443,637,338
156,277,444,637,337
156,277,443,636,337
157,278,445,638,339
156,278,444,636,337
157,278,443,634,337
155,277,440,630,337
158,279,444,637,341
154,279,441,633,338
155,278,440,631,337
156,278,444,638,338
152,274,438,628,333
154,279,443,635,337
155,279,442,635,338
155,274,437,627,335
159,284,452,647,346
