MQ2,MQ4,MQ5,MQ7,MQ135
115,300,430,570,395
115,300,430,571,395
115,300,429,571,394
114,300,428,570,394
115,300,430,572,395
116,301,431,572,395
116,301,433,572,395
115,301,431,572,396
117,301,432,572,395
115,298,429,570,396
115,299,429,570,396
115,300,431,571,394
115,301,431,571,395
117,300,429,571,394
115,299,427,568,393
114,297,426,568,391
115,299,431,569,394
113,299,429,570,392
114,296,429,569,394
113,299,432,570,392
116,299,430,571,393
114,299,431,571,394
115,300,431,571,395
116,300,437,572,395
115,300,433,570,394
114,300,435,570,393
113,301,430,568,393
115,299,432,569,393
115,296,428,567,390
115,298,429,568,390
114,297,430,569,394
115,296,430,569,393
114,298,432,570,393
114,299,430,569,393
115,300,432,569,393
114,300,433,570,393
112,300,433,569,393
114,301,432,570,393
112,301,434,570,392
114,301,432,571,392
113,301,433,569,392
114,300,434,569,391
114,300,431,567,393
113,302,432,568,391
112,301,432,568,390
114,303,435,567,390
115,303,435,569,390
113,304,434,570,391
115,303,436,570,392
115,302,432,568,392
112,301,432,568,392
112,302,432,569,390
115,302,432,568,392
112,296,433,568,390
114,300,429,568,390
114,304,431,570,390
113,303,433,569,391
112,304,431,569,389
115,303,434,571,390
113,302,432,570,391
113,303,433,571,391
116,303,431,570,389
115,303,431,570,391
114,304,432,570,391
114,302,431,570,390
115,303,432,570,389
114,302,433,570,388
112,302,432,570,388
112,302,431,570,390
112,304,432,570,389
115,303,437,568,390
115,303,433,569,389
113,302,430,569,388
115,303,434,569,388
112,304,432,571,388
115,303,435,571,390
116,304,433,571,389
113,302,430,569,387
114,297,431,569,388
114,296,433,569,387
114,303,432,570,389
115,301,429,568,387
115,302,430,569,388
112,300,431,569,385
115,301,433,569,386
115,301,430,569,387
114,302,424,568,385
114,304,423,570,387
114,301,424,569,385
112,298,420,568,385
113,300,421,570,387
113,298,424,569,387
114,299,426,568,386
114,299,425,568,384
113,299,426,568,386
113,299,425,569,387
114,299,422,568,385
114,299,426,568,385
112,299,428,568,386
114,299,426,569,385
114,300,429,569,386
115,300,428,569,384
112,298,424,567,383
113,301,426,568,385
113,301,427,569,387
115,301,423,569,386
113,300,422,568,384
115,300,424,568,385
114,300,421,568,385
113,299,421,568,385
112,300,419,567,385
112,301,418,568,383
113,300,419,569,383
113,298,422,569,385
114,299,420,567,383
115,299,422,568,383
114,300,422,567,382
114,296,421,569,382
115,298,420,569,382
115,299,421,569,384
114,300,423,569,383
112,296,421,568,382
113,297,421,567,382
114,298,424,569,383
115,298,421,568,384
113,298,419,567,382
114,296,419,566,382
113,297,421,568,382
114,298,421,566,383
115,297,422,568,383
113,296,422,567,381
112,296,429,567,383
115,298,420,567,381
114,299,423,567,381
114,299,421,565,381
113,297,419,565,381
113,298,419,566,380
113,298,422,566,381
113,298,420,565,381
112,299,425,565,380
112,298,420,565,381
113,301,423,566,381
115,299,422,566,380
112,298,421,564,378
112,300,420,566,380
112,298,422,565,378
112,298,416,564,378
114,298,428,565,379
112,297,419,566,378
113,299,423,565,378
112,298,426,564,378
113,297,422,562,378
113,299,424,564,378
113,299,425,564,377
112,299,422,563,378
113,299,426,565,378
114,299,424,563,378
114,298,425,564,376
111,295,424,562,377
113,295,418,561,374
112,296,417,562,377
114,296,428,563,376
112,296,418,562,378
112,296,417,563,375
113,296,422,562,375
112,291,425,562,374
112,292,418,562,375
113,291,417,562,375
113,291,415,562,374
110,288,410,555,370
111,289,415,556,370
112,293,423,561,373
112,297,421,563,375
114,296,423,563,376
115,298,425,565,377
115,299,423,565,376
114,295,424,564,376
114,294,422,565,375
113,296,424,567,377
113,297,422,566,377
113,297,422,564,377
115,300,424,565,377
112,298,421,564,376
113,301,421,564,376
112,300,417,566,376
114,299,422,565,375
112,299,419,565,376
113,300,422,565,374
113,300,421,566,373
114,298,420,564,375
113,298,423,566,377
112,298,420,565,374
113,299,421,564,375
113,298,418,564,375
112,295,415,566,374
113,294,415,565,376
113,295,415,565,376
112,293,412,564,374
114,295,414,566,374
114,296,416,567,375
112,296,418,566,375
114,299,415,567,374
112,302,413,566,373
113,303,416,566,375
114,303,415,565,375
113,304,415,567,374
114,303,418,567,375
112,302,414,566,373
114,305,417,567,374
113,304,416,566,375
113,304,415,565,374
112,297,418,565,373
113,302,414,567,374
113,301,416,568,372
114,298,417,566,373
114,299,415,566,374
112,301,415,564,370
112,300,415,564,373
113,303,413,563,372
114,301,410,564,372
112,299,413,564,372
112,301,410,562,370
114,307,409,562,370
113,298,408,560,370
111,295,411,561,368
112,297,416,566,371
113,297,412,563,371
113,296,412,563,372
112,297,413,562,369
114,295,412,564,369
112,292,412,562,369
112,293,410,562,369
113,293,408,561,366
113,292,408,561,369
113,294,412,562,369
113,295,409,561,368
114,293,411,563,369
112,293,412,562,369
113,295,410,563,368
111,295,411,563,367
112,296,410,561,366
112,297,409,562,368
113,295,419,562,367
112,296,410,561,367
113,297,409,561,366
113,297,412,560,365
112,296,412,561,367
113,298,410,561,364
113,298,411,562,365
113,298,411,560,365
113,299,412,561,365
112,299,413,562,359
114,300,415,564,359
114,301,415,564,357
113,300,413,562,359
113,300,414,563,359
114,301,414,562,357
112,300,418,562,358
112,300,416,562,356
112,300,417,564,356
113,302,416,564,356
115,301,414,564,355
113,303,418,563,355
112,300,414,562,354
114,302,412,562,356
112,301,416,563,354
112,302,416,564,353
113,303,414,563,351
113,303,422,563,350
112,302,414,563,351
112,303,417,562,352
112,304,417,562,353
112,302,412,564,344
112,302,417,564,342
110,303,414,562,341
113,304,417,562,346
112,305,413,564,346
112,302,412,564,352
113,303,412,562,356
111,303,411,562,356
112,303,411,562,352
113,303,410,563,348
112,302,414,564,350
112,304,412,563,352
112,304,412,562,349
113,302,416,563,348
112,301,417,564,348
112,302,413,564,348
113,303,413,563,341
114,303,412,564,350
113,304,415,564,349
112,303,409,564,349
113,304,410,563,356
113,304,412,563,349
113,306,411,565,343
111,304,409,564,344
112,303,407,564,337
113,305,409,562,344
114,304,412,564,346
114,304,416,562,348
112,304,410,564,348
114,304,418,562,345
112,305,410,562,347
112,306,408,563,344
112,306,407,563,356
115,307,412,562,348
114,306,408,564,347
114,306,408,564,349
114,307,408,563,350
114,308,408,564,349
113,307,412,562,347
114,308,406,564,347
112,309,408,562,348
113,309,407,563,343
113,309,408,564,341
114,305,411,564,342
113,294,410,563,338
112,294,411,564,340
114,293,411,564,347
114,294,413,564,337
112,296,411,564,336
114,297,411,564,343
115,297,412,564,346
114,302,412,564,342
114,302,412,563,345
112,309,413,564,341
116,306,412,564,345
112,311,412,563,340
112,311,412,564,332
115,309,409,563,345
112,309,418,565,341
114,310,410,565,342
112,309,412,563,340
113,309,412,563,355
114,309,410,564,342
115,306,411,565,343
112,312,410,563,340
113,306,413,564,345
115,311,411,565,339
115,294,409,565,356
114,292,411,563,354
112,300,413,564,356
113,302,410,563,355
114,303,404,563,356
115,304,406,564,357
115,301,406,565,358
113,304,408,565,356
114,305,408,563,355
115,310,411,563,356
116,294,410,563,354
114,301,406,565,347
114,305,403,566,342
115,296,408,565,347
115,307,411,564,341
113,304,414,564,344
113,307,413,565,356
114,306,412,564,354
114,310,414,565,356
115,304,410,565,355
115,306,410,565,343
112,295,413,565,342
113,304,417,563,354
115,306,414,565,354
114,301,417,565,354
115,304,410,564,358
115,306,412,564,355
114,308,411,564,357
115,308,415,565,357
114,307,411,564,357
116,306,412,564,358
113,307,418,563,358
117,307,412,565,358
116,308,412,564,359
115,308,408,565,359
114,305,414,566,361
114,303,412,566,360
115,303,418,564,358
116,301,410,564,360
114,301,412,563,358
115,303,414,564,359
113,302,411,564,360
115,305,409,565,360
116,304,409,564,361
115,305,409,565,361
115,307,415,564,359
117,306,409,565,361
116,306,411,564,363
114,307,409,565,360
116,307,417,564,362
113,307,411,564,361
116,304,411,564,362
116,305,413,565,361
117,307,411,563,362
113,305,412,563,360
116,306,411,564,362
115,307,412,564,361
116,306,413,564,362
115,306,411,564,361
117,306,410,564,362
115,307,410,564,361
116,304,414,565,362
114,308,411,564,361
116,306,412,566,363
114,306,413,567,362
116,310,413,565,363
115,314,415,565,361
116,309,413,565,361
117,306,411,566,363
114,307,413,565,362
115,307,412,565,361
115,304,413,566,361
113,307,413,564,362
114,306,415,566,363
116,306,412,564,363
117,307,413,566,363
116,304,421,565,364
117,302,420,564,362
118,302,413,565,364
114,301,415,566,362
117,302,412,564,362
115,302,417,567,362
116,301,413,565,363
116,300,414,565,365
118,298,414,566,363
113,299,419,566,362
117,301,419,564,363
114,302,418,565,362
115,303,414,566,362
117,305,414,567,364
116,304,416,566,364
115,304,413,566,365
117,303,416,567,364
116,302,423,566,364
115,303,414,567,362
116,298,416,565,363
116,299,415,566,362
118,299,414,565,365
116,296,416,567,362
117,300,413,567,365
118,292,415,565,364
117,293,415,565,364
116,298,416,566,364
118,299,422,566,362
115,299,413,566,362
117,295,420,566,364
117,295,416,567,365
116,296,416,566,365
117,300,418,567,365
118,299,415,566,363
116,298,422,566,363
117,301,416,565,363
117,300,417,565,362
115,297,426,566,363
116,295,417,568,364
115,293,415,565,363
115,302,415,566,365
114,299,418,567,365
118,299,418,566,365
117,302,417,565,363
115,304,415,567,364
118,301,416,567,363
118,303,420,567,365
117,305,414,566,366
118,305,418,567,365
118,304,419,567,364
