MQ2,MQ4,MQ5,MQ7,MQ135
188,286,444,367,338
,,,,
189,286,444,366,343
,,,,
189,288,444,367,343
,,,,
191,286,446,365,343
,,,,
189,286,446,365,343
,,,,
189,289,445,367,341
,,,,
189,286,446,366,341
,,,,
288,445,367,341,
,,,,
190,286,446,366,341
,,,,
190,288,445,367,339
,,,,
190,286,445,366,339
,,,,
190,287,445,366,340
,,,,
188,287,446,366,340
,,,,
190,286,445,364,340
,,,,
189,288,445,365,338
,,,,
190,287,444,366,340
,,,,
188,287,444,365,339
,,,,
189,287,445,365,337
188,288,444,367,346
,,,,
187,286,445,367,343
,,,,
187,286,443,367,345
,,,,
190,286,444,367,344
,,,,
188,286,445,366,347
,,,,
191,287,444,367,345
,,,,
188,287,445,367,347
,,,,
189,288,446,366,347
288,443,365,345,
188,287,445,367,344
,,,,
190,286,445,367,347
,,,,
188,287,443,367,346
,,,,
190,286,445,366,347
,,,,
189,287,444,367,348
,,,,
190,286,445,366,350
,,,,
188,288,445,365,347
,,,,
189,286,445,365,350
,,,,
190,286,445,365,349
,,,,
188,286,446,365,347
,,,,
189,287,445,366,349
,,,,
190,287,443,367,350
,,,,
190,287,445,366,349
,,,,
190,287,443,367,351
,,,,
187,289,443,366,351
,,,,
189,288,445,366,351
,,,,
188,288,444,365,350
,,,,
190,287,443,367,345
,,,,
189,287,444,365,348
,,,,
189,288,445,367,348
,,,,
190,286,445,365,345
,,,,
190,286,444,364,347
,,,,
191,286,446,365,348
,,,,
190,286,443,366,345
,,,,
188,286,444,365,344
,,,,
187,288,444,366,346
,,,,
188,289,444,365,345
,,,,
188,287,444,366,348
,,,,
,,,,
187,287,445,365,343
,,,,
188,288,443,366,348
,,,,
188,287,444,365,350
,,,,
187,288,444,365,347
,,,,
189,287,443,366,348
,,,,
189,288,443,365,350
,,,,
190,286,444,365,347
,,,,
188,286,444,367,349
,,,,
188,287,444,365,347
,,,,
191,286,444,366,348
,,,,
187,288,444,367,350
,,,,
189,286,444,366,350
,,,,
188,288,444,365,349
,,,,
189,289,445,368,349
,,,,
187,288,445,367,349
,,,,
189,287,445,366,349
,,,,
189,288,443,365,348
,,,,
189,288,446,366,349
,,,,
189,286,444,367,350
,,,,
188,287,446,366,350
,,,,
188,288,444,366,349
,,,,
190,286,445,366,348
,,,,
187,287,445,365,350
,,,,
189,287,445,366,350
,,,,
189,288,444,367,350
,,,,
190,286,443,367,348
,,,,
190,287,444,365,348
,,,,
189,287,443,367,349
,,,,
188,287,445,366,349
,,,,
188,287,444,367,348
,,,,
188,286,444,367,349
,,,,
189,287,445,365,349
,,,,
190,288,446,366,349
,,,,
188,289,443,367,350
,,,,
188,288,445,366,350
,,,,
189,286,444,366,350
,,,,
189,286,444,367,349
,,,,
187,288,445,365,346
,,,,
190,287,444,366,348
,,,,
190,286,443,366,348
,,,,
188,288,444,366,349
,,,,
188,285,444,367,349
,,,,
188,289,444,366,350
,,,,
190,287,444,365,349
,,,,
189,286,444,366,348
,,,,
191,287,444,366,347
,,,,
188,287,444,366,342
,,,,
188,286,443,366,345
,,,,
188,286,444,367,349
,,,,
188,287,443,367,348
,,,,
190,286,444,366,346
,,,,
190,287,444,365,346
,,,,
188,287,446,366,342
,,,,
190,286,445,366,346
,,,,
187,288,444,365,349
,,,,
186,287,445,367,348
,,,,
188,286,444,365,346
,,,,
187,288,444,366,345
,,,,
191,286,444,367,347
,,,,
189,286,445,367,345
,,,,
187,288,443,367,346
,,,,
188,286,445,366,346
,,,,
188,285,445,367,350
,,,,
187,289,443,368,350
,,,,
188,286,444,368,344
,,,,
187,286,443,367,345
,,,,
188,289,444,366,346
,,,,
189,286,445,367,347
,,,,
189,287,443,367,348
,,,,
188,286,445,365,349
,,,,
187,287,444,367,350
,,,,
189,288,445,368,349
,,,,
287,445,366,350,
,,,,
189,286,443,365,348
,,,,
187,288,445,367,347
,,,,
188,288,443,367,343
,,,,
188,286,445,366,343
,,,,
189,288,443,367,342
,,,,
188,286,444,367,339
,,,,
188,285,445,366,346
,,,,
187,286,445,367,343
,,,,
187,287,443,366,349
,,,,
187,287,444,365,347
,,,,
189,286,445,366,346
,,,,
188,287,445,365,345
,,,,
188,286,444,367,346
,,,,
191,286,444,367,346
,,,,
187,287,444,366,348
,,,,
,,,,
189,286,444,367,345
,,,,
188,288,443,368,346
,,,,
189,286,445,365,345
,,,,
187,288,444,365,346
,,,,
188,286,444,367,345
,,,,
189,285,445,366,345
,,,,
189,287,444,365,346
,,,,
189,285,444,365,343
,,,,
,,,,
187,288,443,367,348
,,,,
188,287,442,367,347
,,,,
187,286,442,367,348
,,,,
186,286,443,367,344
,,,,
187,287,443,366,345
,,,,
188,287,443,365,347
,,,,
188,288,443,367,348
,,,,
188,285,444,367,347
,,,,
189,287,442,367,346
,,,,
,,,,
187,287,443,367,348
,,,,
189,285,444,366,344
,,,,
188,286,443,366,346
,,,,
188,286,444,365,345
,,,,
189,286,442,367,346
,,,,
188,286,445,366,348
,,,,
187,288,443,367,348
,,,,
188,285,443,367,347
,,,,
186,286,442,366,348
,,,,
186,285,442,365,347
188,286,443,368,346
,,,,
188,285,442,368,345
,,,,
186,288,443,365,343
,,,,
188,288,443,366,341
,,,,
188,287,444,365,345
,,,,
187,287,443,366,344
,,,,
187,285,444,366,344
,,,,
187,286,442,367,344
,,,,
286,442,367,343,
188,286,442,365,347
,,,,
189,286,444,366,344
,,,,
188,285,444,366,347
,,,,
187,286,443,367,348
,,,,
187,287,442,367,350
,,,,
189,286,442,367,348
,,,,
188,286,443,367,349
,,,,
188,286,444,366,349
,,,,
188,285,443,367,349
,,,,
189,286,443,367,347
,,,,
188,287,444,366,348
,,,,
187,287,444,365,349
,,,,
188,285,444,366,347
,,,,
186,286,442,365,348
,,,,
188,288,443,367,349
,,,,
189,286,442,367,349
,,,,
187,287,442,366,349
,,,,
189,285,443,366,348
,,,,
189,286,443,367,349
,,,,
187,286,442,366,344
,,,,
188,287,443,367,348
,,,,
187,287,443,366,347
,,,,
189,286,444,365,347
,,,,
186,287,443,366,347
,,,,
188,285,444,366,342
,,,,
188,287,443,366,345
,,,,
186,285,443,366,345
,,,,
188,285,444,365,343
,,,,
,,,,
187,285,444,365,342
,,,,
188,286,442,366,348
,,,,
188,285,444,366,347
,,,,
188,286,443,365,346
,,,,
186,286,443,365,348
,,,,
187,287,443,367,348
,,,,
188,286,442,366,348
,,,,
188,285,443,366,347
,,,,
,,,,
187,286,442,366,346
,,,,
187,286,442,367,346
,,,,
185,287,442,367,346
,,,,
188,287,443,367,347
,,,,
187,285,442,365,348
,,,,
188,285,444,365,347
,,,,
188,287,443,366,347
,,,,
187,287,442,367,348
,,,,
187,286,443,366,348
,,,,
186,287,444,366,347
,,,,
189,285,443,366,347
,,,,
187,285,444,366,345
,,,,
187,287,443,365,346
,,,,
188,286,442,366,347
,,,,
187,286,444,366,347
,,,,
185,285,444,367,347
,,,,
189,286,442,366,346
,,,,
187,286,443,367,347
,,,,
187,286,444,366,347
,,,,
185,286,443,367,346
,,,,
188,286,443,366,348
,,,,
188,286,443,367,347
,,,,
187,288,443,366,346
,,,,
186,287,442,367,348
,,,,
188,286,444,366,347
,,,,
188,285,443,366,347
,,,,
187,285,444,366,348
,,,,
187,285,444,366,347
,,,,
189,286,444,366,346
,,,,
189,286,443,366,345
,,,,
189,286,442,367,347
,,,,
186,287,443,366,349
,,,,
187,288,443,365,347
,,,,
186,288,443,366,348
,,,,
188,287,442,365,346
,,,,
189,286,442,367,346
,,,,
187,288,442,368,348
,,,,
,,,,
188,286,443,367,345
,,,,
188,285,444,367,349
,,,,
187,287,442,368,348
,,,,
188,285,444,367,348
,,,,
186,285,442,365,348
,,,,
188,285,444,366,345
,,,,
186,286,444,366,346
,,,,
186,285,444,366,343
,,,,
187,286,443,367,347
,,,,
187,286,442,366,347
,,,,
187,287,443,366,348
,,,,
186,286,444,366,349
,,,,
187,286,444,367,348
,,,,
187,286,444,367,348
,,,,
186,286,443,366,348
,,,,
188,285,444,366,345
,,,,
188,286,442,367,343
,,,,
188,285,443,367,347
,,,,
285,444,367,345,
,,,,
186,287,442,367,343
,,,,
187,285,442,366,348
,,,,
186,285,443,366,348
,,,,
187,285,443,367,345
,,,,
188,287,443,365,343
,,,,
187,288,443,368,345
,,,,
186,284,442,366,347
188,285,443,366,347
,,,,
185,285,442,368,346
,,,,
