MQ2,MQ4,MQ5,MQ7,MQ135
114,220,330,453,213
114,221,330,465,214
116,223,332,478,215
117,222,333,491,217
116,223,333,502,219
119,222,333,514,221
118,225,334,527,222
119,226,335,539,223
121,226,335,551,225
122,227,337,562,227
124,227,338,573,230
123,226,341,581,231
123,228,341,592,233
125,228,343,602,235
126,230,342,609,237
126,231,344,618,239
129,232,344,627,241
129,232,346,635,242
130,232,347,642,245
133,233,346,648,246
133,235,348,652,248
136,234,348,660,251
138,235,350,663,251
138,236,352,668,255
140,237,352,673,257
141,237,353,677,258
144,238,353,680,261
144,239,355,681,263
146,239,356,684,265
148,240,356,688,269
151,242,357,690,269
150,242,359,692,272
154,245,361,694,275
155,243,362,693,278
156,244,362,696,280
157,245,363,697,282
161,246,364,698,285
163,248,365,699,286
165,249,365,699,288
164,249,367,699,293
167,251,368,700,295
168,251,369,701,297
172,251,370,699,300
172,253,371,703,302
177,255,372,700,302
177,254,373,702,306
179,253,374,702,308
185,256,374,701,309
187,257,376,700,312
189,257,378,700,315
192,258,378,700,316
194,259,378,701,318
199,260,379,700,319
201,261,380,700,319
204,264,381,701,321
208,262,383,700,323
210,263,383,698,326
215,265,384,698,324
217,265,385,697,328
219,268,388,699,329
223,266,387,698,329
227,270,388,697,330
230,270,389,697,333
236,270,389,696,334
240,270,391,698,334
244,273,393,697,335
248,273,394,696,337
251,272,393,696,336
253,274,394,698,337
257,274,396,698,339
262,275,397,694,339
264,277,397,697,338
267,280,398,697,342
271,280,399,696,341
272,279,401,694,340
276,279,400,696,344
278,280,403,694,343
282,282,403,695,346
283,283,404,695,345
284,283,404,696,346
286,284,405,696,348
287,285,407,696,346
288,286,409,694,348
291,286,409,694,348
292,286,409,694,348
292,288,411,694,348
292,287,412,694,351
293,286,412,696,351
293,288,413,695,352
292,287,415,695,350
292,290,416,695,352
293,288,416,695,351
293,289,417,696,352
293,291,418,696,354
290,291,420,694,352
292,292,421,694,355
290,292,421,696,355
291,293,421,694,354
290,293,423,695,356
288,293,423,695,356
288,296,423,694,357
287,294,425,695,357
287,296,426,694,356
285,295,427,693,357
286,295,427,694,357
285,296,429,694,357
283,296,430,693,360
282,296,430,695,361
283,297,431,696,359
280,297,433,695,362
281,298,432,695,360
280,298,433,694,361
279,297,434,696,362
277,297,436,693,361
277,298,435,694,361
276,298,437,695,362
274,299,437,692,361
273,298,438,693,363
273,299,438,694,361
272,299,439,694,363
272,299,440,695,362
272,299,441,693,363
271,300,441,695,362
269,300,441,694,362
269,301,440,693,364
268,300,442,695,363
267,301,443,692,362
267,302,443,695,364
264,300,444,693,363
265,302,444,694,362
263,302,446,692,365
265,302,446,692,363
261,300,447,692,365
262,302,448,690,364
261,302,448,691,364
261,302,448,692,366
259,302,450,692,363
258,302,449,692,364
257,302,450,690,364
259,301,451,691,365
256,302,452,691,363
257,303,451,690,364
257,301,452,690,365
254,302,453,688,365
255,302,454,688,365
252,302,455,690,363
251,303,456,690,365
254,304,455,689,364
251,304,455,690,364
251,305,457,687,364
250,304,456,689,366
250,303,458,686,365
249,305,457,687,364
249,305,458,687,366
248,303,459,687,365
247,304,459,685,364
246,305,459,686,364
246,304,458,685,365
244,305,461,686,364
244,305,459,686,364
244,305,461,684,366
244,304,460,686,364
243,305,462,684,364
242,305,462,684,362
241,305,463,684,364
241,303,462,683,365
240,303,463,683,363
239,305,464,684,362
238,305,464,682,364
238,305,462,682,364
238,306,463,683,363
237,305,464,681,363
236,305,465,682,363
237,305,464,682,365
235,305,464,682,364
235,305,465,680,364
233,306,465,681,364
233,304,465,680,364
232,305,466,680,362
233,304,466,679,362
233,305,466,678,364
232,305,467,677,363
231,305,467,678,363
230,306,467,677,362
229,305,467,677,364
228,305,468,678,364
227,304,468,678,362
229,305,467,676,362
226,305,470,677,362
227,305,468,676,361
225,305,470,675,362
223,306,469,674,363
225,304,469,676,363
223,305,470,674,361
223,306,470,675,362
224,305,470,675,363
223,305,471,674,362
223,305,471,672,361
223,304,471,674,362
220,305,471,673,363
221,305,471,673,361
220,304,472,671,363
218,305,472,673,362
219,304,471,673,361
219,305,473,673,361
219,304,472,671,361
219,304,472,671,361
217,304,473,669,360
216,305,474,671,361
216,305,474,669,361
215,306,473,670,360
216,305,473,670,361
216,305,474,670,359
215,306,474,670,361
215,305,473,669,360
214,305,474,668,359
214,305,474,669,361
212,304,476,666,359
213,306,474,666,360
210,304,474,667,360
211,306,476,666,360
211,305,475,666,358
211,305,476,665,358
210,305,476,664,360
208,304,475,666,359
209,304,476,666,359
210,306,477,664,358
208,306,476,666,358
208,305,476,666,357
206,305,476,665,360
208,305,477,662,358
207,305,477,662,358
205,305,478,662,358
204,304,477,664,359
205,304,478,663,357
204,305,477,662,358
204,306,477,661,357
204,304,476,662,357
204,305,476,662,357
203,305,476,660,358
201,305,478,662,359
200,305,477,661,358
201,304,478,660,357
201,306,477,661,357
200,303,478,660,356
200,304,477,660,357
200,305,478,660,358
200,304,479,659,357
199,304,477,657,357
198,303,479,657,358
196,303,479,657,357
199,303,478,658,358
198,303,478,656,356
196,303,479,658,356
197,303,478,659,357
195,303,480,656,355
194,303,479,657,355
196,303,479,657,355
196,304,479,658,356
193,303,478,656,354
194,303,480,655,356
193,303,478,656,354
193,303,479,656,354
193,304,479,656,356
193,304,478,654,355
191,303,480,655,355
193,303,480,653,355
190,303,480,654,355
191,304,480,654,352
191,303,480,652,353
191,303,480,654,354
192,304,479,653,353
190,303,481,653,355
191,303,480,654,354
188,303,480,652,352
189,304,480,653,352
189,302,481,650,353
188,302,479,653,352
187,303,479,651,352
188,303,481,651,354
187,304,479,651,353
186,304,478,652,351
186,302,479,651,352
187,303,481,649,352
186,303,482,649,352
184,302,479,651,352
184,303,480,650,352
185,304,480,650,352
185,303,480,648,351
183,303,481,647,351
184,302,480,649,353
185,301,480,649,351
182,302,480,647,351
182,303,481,647,352
182,303,481,648,352
180,302,480,647,352
182,303,480,647,352
182,303,480,648,350
181,302,481,648,351
181,302,480,648,350
179,303,480,646,352
181,303,481,646,350
180,303,482,645,349
180,302,482,646,351
180,304,482,645,351
178,302,481,646,350
179,303,480,644,350
179,301,481,646,350
179,301,482,644,349
178,300,481,646,349
178,301,480,645,350
177,302,480,644,349
177,301,481,643,349
178,302,480,644,350
177,300,480,644,349
177,301,482,643,349
175,301,482,644,349
176,302,481,643,349
176,300,481,644,348
176,301,482,642,348
175,301,481,641,349
174,301,482,643,348
174,301,481,642,348
174,300,481,643,347
174,302,481,642,347
172,301,480,642,349
172,300,481,643,348
173,302,481,643,348
172,301,483,641,349
172,301,482,641,348
171,302,482,641,346
172,301,482,642,348
172,300,481,642,346
171,303,481,642,348
169,300,481,642,348
171,301,481,641,346
170,301,483,640,348
171,302,482,640,347
171,302,482,639,347
170,301,482,638,347
170,300,481,640,347
170,302,481,639,347
169,301,483,639,347
168,300,483,639,347
168,300,482,639,347
169,300,482,639,346
169,301,483,638,345
169,301,483,639,346
166,301,483,638,345
167,301,482,637,346
166,301,483,637,344
167,301,481,637,346
168,301,482,638,346
166,300,483,637,344
167,301,482,637,345
166,300,482,638,345
166,300,482,637,344
166,301,482,638,346
165,300,485,636,345
164,300,483,638,347
165,300,483,638,345
164,300,484,635,345
165,300,482,636,346
164,301,484,636,346
163,300,483,636,346
164,300,482,636,347
165,301,484,635,347
163,299,483,637,346
163,301,482,636,345
163,301,481,635,345
164,299,482,636,345
163,300,481,636,346
163,301,482,635,344
