MQ2,MQ4,MQ5,MQ7,MQ135,,,,,
162,239,368,549,332,,,,,
165,241,367,555,335,,,,,
168,240,367,563,335,,,,,
171,242,369,567,336,,,,,
171,244,369,574,339,,,,,
173,244,371,578,342,,,,,
175,250,373,584,343,,,,,
178,252,374,587,345,,,,,
179,251,379,593,348,,,,,
182,265,376,597,347,,,,,
183,262,377,602,351,,,,,
185,256,376,607,352,,,,,
187,261,378,609,353,,,,,
190,256,381,615,353,,,,,
193,258,385,620,357,,,,,
194,260,381,623,357,,,,,
196,259,383,627,359,,,,,
198,258,383,629,361,,,,,
199,260,383,633,361,,,,,
202,260,383,638,363,,,,,
203,266,384,641,365,,,,,
207,266,386,646,366,,,,,
208,269,387,648,369,,,,,
210,271,388,649,371,,,,,
212,265,388,652,371,,,,,
213,263,390,657,374,,,,,
214,265,392,658,375,,,,,
218,264,392,662,375,,,,,
219,266,394,663,378,,,,,
221,269,395,664,377,,,,,
222,269,397,668,381,,,,,
223,269,399,670,381,,,,,
227,270,400,672,382,,,,,
226,273,402,674,384,,,,,
230,272,401,676,385,,,,,
231,274,403,677,386,,,,,
232,282,405,678,387,,,,,
234,277,405,682,389,,,,,
235,278,408,683,390,,,,,
237,297,407,682,391,,,,,
237,280,409,683,393,,,,,
238,281,408,687,394,,,,,
239,280,408,689,395,,,,,
240,281,410,689,397,,,,,
242,283,412,688,397,,,,,
243,284,411,692,399,,,,,
244,284,412,691,399,,,,,
245,290,413,694,399,,,,,
245,289,415,693,402,,,,,
246,297,415,693,402,,,,,
247,290,416,695,403,,,,,
247,292,416,698,404,,,,,
249,289,418,696,404,,,,,
248,291,418,698,404,,,,,
249,290,418,699,406,,,,,
250,291,420,700,408,,,,,
250,289,420,700,409,,,,,
252,289,421,698,407,,,,,
251,291,420,701,411,,,,,
252,292,422,701,410,,,,,
253,292,423,701,409,,,,,
253,293,424,701,411,,,,,
252,295,426,700,412,,,,,
253,297,427,703,414,,,,,
252,300,427,703,413,,,,,
252,297,427,703,414,,,,,
